No.;Time;;Time 1;Time 2;;Delay;Delay 1;Delay 2;;Jitter
101;29,423256;;29,423256;29,423257;;1E-06;-0,041672;-0,082056;;-0,040384
102;29,423257;;29,423257;29,46493;;0,041673;0,040384;0,793973;;0,753589
103;29,46493;;29,46493;29,466219;;0,001289;-0,753589;-1,317732;;-0,564143
104;29,466219;;29,466219;30,221097;;0,754878;0,564143;0,472827;;-0,091316
105;30,221097;;30,221097;30,411832;;0,190735;0,091316;-0,008027;;-0,099343
106;30,411832;;30,411832;30,511251;;0,099419;0,099343;0,09954;;0,000197
107;30,511251;;30,511251;30,511327;;7,6E-05;-0,000197;0,275898;;0,276095
108;30,511327;;30,511327;30,5116;;0,000273;-0,276095;-0,552185;;-0,27609
109;30,5116;;30,5116;30,787968;;0,276368;0,27609;0,275813;;-0,000277
110;30,787968;;30,787968;30,788246;;0,000278;0,000277;0,000303;;2,6E-05
111;30,788246;;30,788246;30,788247;;1E-06;-2,6E-05;0,001087;;0,001113
112;30,788247;;30,788247;30,788274;;2,7E-05;-0,001113;-0,002234;;-0,001121
113;30,788274;;30,788274;30,789414;;0,00114;0,001121;0,001919;;0,000798
114;30,789414;;30,789414;30,789433;;1,9E-05;-0,000798;0,272019;;0,272817
115;30,789433;;30,789433;30,79025;;0,000817;-0,272817;-0,546451;;-0,273634
116;30,79025;;30,79025;31,063884;;0,273634;0,273634;0,274193;;0,000559
117;31,063884;;31,063884;31,063884;;0;-0,000559;-0,001095;;-0,000536
118;31,063884;;31,063884;31,064443;;0,000559;0,000536;0,000926;;0,00039
119;31,064443;;31,064443;31,064466;;2,3E-05;-0,00039;-0,000748;;-0,000358
120;31,064466;;31,064466;31,064879;;0,000413;0,000358;0,000304;;-5,4E-05
121;31,064879;;31,064879;31,064934;;5,5E-05;5,4E-05;0,034925;;0,034871
122;31,064934;;31,064934;31,064935;;1E-06;-0,034871;-0,069654;;-0,034783
123;31,064935;;31,064935;31,099807;;0,034872;0,034783;0,273436;;0,238653
124;31,099807;;31,099807;31,099896;;8,9E-05;-0,238653;-0,477395;;-0,238742
125;31,099896;;31,099896;31,338638;;0,238742;0,238742;0,239695;;0,000953
126;31,338638;;31,338638;31,338638;;0;-0,000953;-0,001906;;-0,000953
127;31,338638;;31,338638;31,339591;;0,000953;0,000953;0,000983;;3E-05
128;31,339591;;31,339591;31,339591;;0;-3E-05;8E-06;;3,8E-05
129;31,339591;;31,339591;31,339621;;3E-05;-3,8E-05;-8,1E-05;;-4,3E-05
130;31,339621;;31,339621;31,339689;;6,8E-05;4,3E-05;0,288877;;0,288834
131;31,339689;;31,339689;31,339714;;2,5E-05;-0,288834;-0,577693;;-0,288859
132;31,339714;;31,339714;31,628573;;0,288859;0,288859;0,731355;;0,442496
133;31,628573;;31,628573;31,628573;;0;-0,442496;-0,598226;;-0,15573
134;31,628573;;31,628573;32,071069;;0,442496;0,15573;2,901403;;2,745673
135;32,071069;;32,071069;32,357835;;0,286766;-2,745673;-5,778103;;-3,03243
136;32,357835;;32,357835;35,390274;;3,032439;3,03243;4,318427;;1,285997
137;35,390274;;35,390274;35,390283;;9E-06;-1,285997;-2,546828;;-1,260831
138;35,390283;;35,390283;36,676289;;1,286006;1,260831;1,276861;;0,01603
139;36,676289;;36,676289;36,701464;;0,025175;-0,01603;0,623079;;0,639109
140;36,701464;;36,701464;36,742669;;0,041205;-0,639109;-1,319335;;-0,680226
141;36,742669;;36,742669;37,422983;;0,680314;0,680226;1,07073;;0,390504
142;37,422983;;37,422983;37,423071;;8,8E-05;-0,390504;-0,77865;;-0,388146
143;37,423071;;37,423071;37,813663;;0,390592;0,388146;0,587844;;0,199698
144;37,813663;;37,813663;37,816109;;0,002446;-0,199698;-0,399693;;-0,199995
145;37,816109;;37,816109;38,018253;;0,202144;0,199995;0,91188;;0,711885
146;38,018253;;38,018253;38,020402;;0,002149;-0,711885;-1,323182;;-0,611297
147;38,020402;;38,020402;38,734436;;0,714034;0,611297;0,512676;;-0,098621
148;38,734436;;38,734436;38,837173;;0,102737;0,098621;0,192309;;0,093688
149;38,837173;;38,837173;38,841289;;0,004116;-0,093688;-0,181978;;-0,08829
